"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49854","151.143.78.74","49154",,"151.143.61.23","49854",
"TCP","[System Process]","0","TIME_WAIT","151.143.78.74:54643","151.143.56.202:135","151.143.78.74","54643",,"151.143.56.202","135",
"TCP","lsass.exe","564","ESTABLISHED","151.143.78.74:54644","151.143.56.202:64530","151.143.78.74","54644",,"151.143.56.202","64530",
"TCP","System","4","ESTABLISHED","151.143.78.74:54647","151.143.56.202:445","151.143.78.74","54647",,"151.143.56.202","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54648","172.16.8.42:445","151.143.78.74","54648",,"172.16.8.42","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54649","172.16.8.42:139","151.143.78.74","54649",,"172.16.8.42","139",
"TCP","[System Process]","0","TIME_WAIT","151.143.78.74:54644","151.143.56.202:64530","151.143.78.74","54644",,"151.143.56.202","64530",
"TCP","masvc.exe","1236","CLOSE_WAIT","151.143.78.74:54653","151.143.101.106:443","151.143.78.74","54653",,"151.143.101.106","443",
"TCP","System","4","SYN_SENT","151.143.78.74:54658","172.16.8.39:445","151.143.78.74","54658",,"172.16.8.39","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54659","172.16.8.39:139","151.143.78.74","54659",,"172.16.8.39","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49896","151.143.78.74","135",,"151.143.61.23","49896",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49897","151.143.78.74","49154",,"151.143.61.23","49897",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49922","151.143.78.74","135",,"151.143.61.23","49922",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49923","151.143.78.74","49154",,"151.143.61.23","49923",
