"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10184","151.143.101.13:135","151.143.3.139","10184",,"151.143.101.13","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10185","151.143.101.13:1025","151.143.3.139","10185",,"151.143.101.13","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10183","151.143.101.7:49155","151.143.3.139","10183",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10186","151.143.101.13:1025","151.143.3.139","10186",,"151.143.101.13","1025",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10193","151.143.101.7:135","151.143.3.139","10193",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10194","151.143.101.7:49155","151.143.3.139","10194",,"151.143.101.7","49155",
"TCP","svchost.exe","1096","ESTABLISHED","151.143.3.139:10195","151.143.101.7:389","151.143.3.139","10195",,"151.143.101.7","389",
"TCP","System","4","ESTABLISHED","151.143.3.139:10199","151.143.101.13:445","151.143.3.139","10199",,"151.143.101.13","445",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10193","151.143.101.7:135","151.143.3.139","10193",,"151.143.101.7","135",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10200","216.58.216.14:443","151.143.3.139","10200",,"216.58.216.14","443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10201","74.125.239.33:443","151.143.3.139","10201",,"74.125.239.33","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10194","151.143.101.7:49155","151.143.3.139","10194",,"151.143.101.7","49155",
"TCP","OUTLOOK.EXE","6544","ESTABLISHED","151.143.3.139:10202","134.187.70.207:443","151.143.3.139","10202",,"134.187.70.207","443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10205","151.143.3.80:9443","151.143.3.139","10205",,"151.143.3.80","9443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10200","216.58.216.14:443","151.143.3.139","10200",,"216.58.216.14","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10201","74.125.239.33:443","151.143.3.139","10201",,"74.125.239.33","443",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10207","151.143.101.9:135","151.143.3.139","10207",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10208","151.143.101.9:1025","151.143.3.139","10208",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10207","151.143.101.9:135","151.143.3.139","10207",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10208","151.143.101.9:1025","151.143.3.139","10208",,"151.143.101.9","1025",
"TCP","System","4","ESTABLISHED","151.143.3.139:10209","151.143.101.7:445","151.143.3.139","10209",,"151.143.101.7","445",
"TCP","Wanova.Desktop.Service.exe","3432","ESTABLISHED","151.143.3.139:10213","151.143.101.7:135","151.143.3.139","10213",,"151.143.101.7","135",
"TCP","Wanova.Desktop.Service.exe","3432","ESTABLISHED","151.143.3.139:10214","151.143.101.7:49155","151.143.3.139","10214",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10215","151.143.101.13:389","151.143.3.139","10215",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10213","151.143.101.7:135","151.143.3.139","10213",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10214","151.143.101.7:49155","151.143.3.139","10214",,"151.143.101.7","49155",
"TCP","CcmExec.exe","3616","ESTABLISHED","151.143.3.139:10216","151.143.101.24:80","151.143.3.139","10216",,"151.143.101.24","80",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10217","151.143.101.7:135","151.143.3.139","10217",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10218","151.143.101.7:49155","151.143.3.139","10218",,"151.143.101.7","49155",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10219","151.143.101.9:135","151.143.3.139","10219",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10220","151.143.101.9:1025","151.143.3.139","10220",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10217","151.143.101.7:135","151.143.3.139","10217",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10218","151.143.101.7:49155","151.143.3.139","10218",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10219","151.143.101.9:135","151.143.3.139","10219",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10220","151.143.101.9:1025","151.143.3.139","10220",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10221","151.143.51.153:443","151.143.3.139","10221",,"151.143.51.153","443",
"TCP","System","4","ESTABLISHED","151.143.3.139:10230","151.143.101.7:445","151.143.3.139","10230",,"151.143.101.7","445",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10231","151.143.101.9:135","151.143.3.139","10231",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10232","151.143.101.9:1025","151.143.3.139","10232",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10231","151.143.101.9:135","151.143.3.139","10231",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10232","151.143.101.9:1025","151.143.3.139","10232",,"151.143.101.9","1025",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10234","151.143.3.80:9443","151.143.3.139","10234",,"151.143.3.80","9443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10236","74.125.239.41:443","151.143.3.139","10236",,"74.125.239.41","443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10237","74.125.239.36:443","151.143.3.139","10237",,"74.125.239.36","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10240","151.143.101.13:389","151.143.3.139","10240",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10241","151.143.101.13:389","151.143.3.139","10241",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10242","151.143.101.13:389","151.143.3.139","10242",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10236","74.125.239.41:443","151.143.3.139","10236",,"74.125.239.41","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10237","74.125.239.36:443","151.143.3.139","10237",,"74.125.239.36","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10245","151.143.51.153:443","151.143.3.139","10245",,"151.143.51.153","443",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10254","151.143.101.9:135","151.143.3.139","10254",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10255","151.143.101.9:1025","151.143.3.139","10255",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10254","151.143.101.9:135","151.143.3.139","10254",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10255","151.143.101.9:1025","151.143.3.139","10255",,"151.143.101.9","1025",
"TCP","System","4","ESTABLISHED","151.143.3.139:10256","151.143.101.7:445","151.143.3.139","10256",,"151.143.101.7","445",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10260","151.143.101.7:135","151.143.3.139","10260",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10261","151.143.101.7:49155","151.143.3.139","10261",,"151.143.101.7","49155",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10262","151.143.101.9:135","151.143.3.139","10262",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10263","151.143.101.9:1025","151.143.3.139","10263",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10260","151.143.101.7:135","151.143.3.139","10260",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10261","151.143.101.7:49155","151.143.3.139","10261",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10262","151.143.101.9:135","151.143.3.139","10262",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10263","151.143.101.9:1025","151.143.3.139","10263",,"151.143.101.9","1025",
"TCP","System","4","ESTABLISHED","151.143.3.139:10264","151.143.101.7:445","151.143.3.139","10264",,"151.143.101.7","445",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10268","151.143.3.80:9443","151.143.3.139","10268",,"151.143.3.80","9443",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10271","151.143.101.9:135","151.143.3.139","10271",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10272","151.143.101.9:1025","151.143.3.139","10272",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10271","151.143.101.9:135","151.143.3.139","10271",,"151.143.101.9","135",
